key,event_title,organizer,publication_date,place,event_date,event_date_deducted,year
indeplux-1894-01-31-a-i0031,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-01-31,Villa Louvigny (Parc),1894-02-04,False,1894.0
indeplux-1898-02-10-a-i0024,Réouverture du Restaurant FABER,Tony MERSCH,1898-02-10-00:00:00,"Restaurant FABER, Luxembourg",1898-02-13,True,1898.0
luxembourg1935-1936-02-27-a-i0101,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-27-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
luxembourg1935-1936-03-04-a-i0105,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-03-04-00:00:00,Théâtre Municipal de Luxembourg,1936-03-04T20:30:00,False,
indeplux-1891-01-31-a-i0023,SOIRÉE CARNAVALESQUE,UNION DRAMATIQUE,1891-01-31-00:00:00,grande salle de l'ancien Cercle (Restaurant Lentz),1891-02-01-20:30:00,False,
luxembourg1935-1936-02-29-a-i0106,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-29,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
indeplux-1893-02-10-a-i0034,Soirée carnavalesque suivie de danse,Société du K-lang,1893-02-10,Villa Lonvigny (Parc),1893-02-12 20:00:00,False,
indeplux-1894-02-02-a-i0028,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-02-02,Villa Zaonvigfny (Parc),1894-02-04,False,1894.0
luxwort-1921-02-12-a-i0065,,,1921-02-12-00:00:00,,,,
indeplux-1884-03-15-a-i0035,GRAND CONCERT suivi du tirage de la LOTERIE CARNAVALESQUE,fanfare R G.-D. CONCORDIA,1884-03-15-00:00:00,VILU AMBERS,1884-03-16-16:00:00,False,
indeplux-1892-02-27-a-i0024,Soirée carnavalesque suivie de danse,Société chorale grand-ducale Sang & Klang (Pfaffenthal),1892-02-27-00:00:00,Villa Louvigny,1892-02-28-20:00:00,True,
indeplux-1893-02-09-a-i0033,Soirée carnavalesque suivie de danse,Société Sang & Klang,1893-02-09-00:00:00,Villa Louvigny (Parc),1893-02-12-20:00:00,False,
indeplux-1893-02-11-a-i0035,Vente de juments belges,Le Gouvernement grand-ducal,1893-02-11,"Hôtel Olinger-Sinner à Ettelbruck, place du Marché-aux-Chevaux",1893-02-13,False,1893.0
indeplux-1912-03-15-a-i0044,Grand Bal Paré et Masqué,Société carnavalesque Luxembourg,1912-03-15-00:00:00,Grande salle de l'Hôtel de Cologne,1912-03-17-20:30:00,False,
indeplux-1884-03-16-a-i0027,Vente publique d'objets en marbre,Joseph Weiland,1884-03-16-00:00:00,"Luxembourg, rue de l'Arsenal",1884-03-22-13:00:00,False,
indeplux-1892-02-26-a-i0037,Soirée carnavalesque suivie de danse,Société chorale grand-ducale Sang & Klang (Pfaffenthal),1892-02-26-00:00:00,Villa Iiouvigny,1892-02-28-20:00:00,False,
luxembourg1935-1936-02-26-a-i0094,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-26-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
indeplux-1884-03-14-a-i0035,Grand Concert and Lottery Drawing,Fanfare R. G.-D. CONCORDIA,1884-03-14,Villa A. M. Berg,1884-03-16,True,1884.0
indeplux-1894-02-01-a-i0022,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-02-01-00:00:00,Villa Lou vigny (Parc),1894-02-04,False,1894.0
tageblatt-1935-08-10-a-i0128,Concert by Georges Serrano,Radio Luxembourg,1935-08-10-00:00:00,Radio Luxembourg,1935-08-13-21:00:00,False,
courriergdl-1866-02-11-a-i0019,Théâtre de Luxembourg - Multiple Performances,Théâtre de Luxembourg,1866-02-11,Théâtre de Luxembourg,1866-02-11,True,1866.0
indeplux-1912-03-16-a-i0038,Grand Bal Paré et Masqué,Société carnavalesque Luxembourg,1912-03-16-00:00:00,Grande salle de l'Hôtel de Cologne,1912-03-17,True,1912.0
luxwort-1883-01-23-a-i0008,SYMPHONIQUE & VOCAL,SOCIÉTÉ PHILHARMONIQUE,1883-01-23-00:00:00,SAÏXIE DIT CRBCLE,1883-01-25-20:00:00,False,
indeplux-1893-02-07-a-i0019,Grand Concert de Bienfaisance,Musique de l'Établissement E. Mercier & Cie,1893-02-07,"Grand hall de l'Établissement MERCIER et Cie., Luxembourg-Gare",1893-02-18,False,1893.0
luxwort-1883-01-24-a-i0014,SOCIÉTÉ PHILHARMONIQUE,Société Philharmonique,1883-01-24-00:00:00,Not specified,1883-01-25,False,1883.0
luxwort-1925-02-21-a-i0053,,,1925-02-21-00:00:00,,,,
luxwort-1924-03-01-a-i0045,,,1924-03-01-00:00:00,,,,
luxwort-1925-02-21-a-i0054,,,1925-02-21-00:00:00,,,,
obermosel-1939-02-18-a-i0159,Bal Carnavalesque,Hotel Metropole,1939-02-18,Hotel Metropole,1939-02-20,True,1939.0
tageblatt-1939-02-11-a-i0117,Grande Soiree Carnavalesque,,1939-02-11-00:00:00,,1939-02-11,True,1939.0
tageblatt-1950-03-18-a-i0187,Grande Soirée Carnavalesque,Pole Nord Luxembourg,1950-03-18-00:00:00,Pole Nord Luxembourg,1950-03-19,True,1950.0
tageblatt-1930-02-27-a-i0106,Souper Carnavalesque,Pierre Braun,1930-02-27-00:00:00,"Paris-Palace, Luxembourg",,"Likely late February or early March 1930, during carnival season, shortly after the publication date",
tageblatt-1936-02-22-a-i0120,Soirée Carnavalesque,Association des Commerçants Esch,1936-02-22-00:00:00,Hôtel de la Poste,1936-02-24,True,1936.0
tageblatt-1930-03-01-a-i0204,Souper Carnavalesque,Pierre BRAUN,1930-03-01-00:00:00,"PARIS-PALACE, Luxembourg",,March 1930,
onsjongen-1950-02-15-a-i0081,BAL vun der Union Sportive Letzeburg,Union Sportive Letzeburg,1950-02-15-00:00:00,,1950-02-18T20:30:00,False,
tageblatt-1937-02-16-a-i0111,"Masque du Nouvel Automobile Club ""ALLES HANNE VIR""",Nouvel Automobile Club,1937-02-16,Cercle Municipal,1937-02-27,False,1937.0
tageblatt-1938-02-03-a-i0088,Soirée Carnavalesque,Boxing-Club Esch,1938-02-03-00:00:00,Hôtel de la Poste,1938-02-16 20:30:00,True,
tageblatt-1948-03-05-a-i0081,Großer Fastnachtsball,"C.A.G. ""LA FRATERNELLE"", Esch-Alzette",1948-03-05-00:00:00,"Saale ""Café Diekirch"", Otherstraße",1948-03-06-20:00:00,True,
tageblatt-1931-02-12-a-i0092,Grande Soiree Carnavalesque - KAPPENSITZUNG,CAFE DE LA POSTE,1931-02-12-00:00:00,"CAFE DE LA POSTE, au COIN de la rue Xavier Brasseur et rue d'Audun",1931-02-14-20:59:00,False,
tageblatt-1921-02-08-a-i0065,Bal carnavalesque,Musique Municipale,1921-02-08-00:00:00,Hôtel MÉTROPOLE à Esch,1921-02-08,True,1921.0
luxwort-1922-02-27-a-i0033,Soirée carnavalesque,Union Chorale de Rollingergrund,1922-02-27-00:00:00,Salle Fischbach,1922-02-27T20:00:00,False,
luxembourg1935-1938-03-26-a-i0131,Soirée carnavalesque Nuit blanche — Cotillons,,1938-03-26-00:00:00,,1938-03-26,True,1938.0
tageblatt-1922-03-18-a-i0085,Bal carnavalesque,Cercle Symphonique,1922-03-18-00:00:00,Esch-sur-Alzette,1922-03-25,False,1922.0
tageblatt-1923-02-09-a-i0039,GRAND GALA DE GAITES ESTUDIANTINE et CARNAVALESQUE,A.GJELL,1923-02-09,salons du «METROPOLE» à Luxembourg,1923-02-10,True,1923.0
tageblatt-1937-02-08-a-i0086,GALA CARNAVALESQUE,ASSOCIATION DES COMMERÇANTS (Geschâftsverband),1937-02-08,Hôtel de la Poste (Propr. Kohn),1937-02-09,False,1937.0
luxembourg1935-1936-03-21-a-i0110,SOIRÉE CARNAVALESQUE NUIT BLANCHE,,1936-03-21-00:00:00,,1936-03-21,True,1936.0
luxembourg1935-1937-02-03-a-i0096,"La Redoute masquée, Ailes Hannover",Le Nouvel Automobile-Club du Grand-Duché de Luxembourg,1937-02-03,,1937-02-27,False,1937.0
obermosel-1939-02-01-a-i0073,Bal traditionnel carnavalesque,Cercle Hippique Diekirch,1939-02-01-00:00:00,Salons de l'Hôtel du Midi,1939-02-25,False,1939.0
tageblatt-1939-02-01-a-i0109,Bal traditionnel carnavalesque,Cercle Hippique Diekirch,1939-02-01-00:00:00,Salons de l'Hotel du Midi,1939-02-25,False,1939.0
luxembourg1935-1937-01-27-a-i0109,Réjouie masquée,Le Nouvel Automobile-Club du Grand-Duché de Luxembourg,1937-01-27-00:00:00,Luxembourg,1936-02-27,False,1936.0
luxembourg1935-1938-02-26-a-i0099,Ambiance carnavalesque,,1938-02-26-00:00:00,Salle somptueusement décorée,Tous les jours,"Starting from or around February 26, 1938",
luxembourg1935-1938-03-05-a-i0102,La Grande Redoute Masquée du Nouvel Automobile - Club BAL TZIGANE,Nouvel Automobile - Club,1938-03-05,Cercle Municipal,1938-03-12,False,1938.0
obermosel-1937-02-17-a-i0063,La Grande Redoute Masquée du Nouvel Automobile Club,Nouvel Automobile Club,1937-02-17,Cercle Municipal,1937-02-27,False,1937.0
luxembourg1935-1937-02-17-a-i0102,"La Grande Redoute Masquée du Nouvel Automobile-Club ""ALLES HANNE-VIR""",Nouvel Automobile-Club,1937-02-17,Cercle Municipal,1937-02-27,False,1937.0
luxland-1969-02-14-a-i0109,GRAND BAL MASQUÉ ET PARÉ ANNUEL DES CHASSEURS,Fédération des Chasseurs Luxembourgeois,1969-02-14-00:00:00,Euro-Parc-Hôtel à Dommeldange,1969-02-15,False,1969.0
luxland-1970-01-30-a-i0085,Grand Bal Masqué et Paré,Fédération des Chasseurs Luxembourgeois,1970-01-30-00:00:00,EURO-PARC HOTEL à Luxembourg-Dommeldange,1970-02-07T20:30:00,False,
luxembourg1935-1937-02-22-a-i0089,"GRANDE REDOUTE ""ALIES HANNE-VIR""",NOUVEL AUTOMOBILE-CLUB,1937-02-22,Cercle Municipal,1937-02-27,False,1937.0
obermosel-1937-02-22-a-i0086,"374 GRANDE REDOUTE ""ALLES HANNEVIR""",LE Nouvel Automobile Club,1937-02-22-00:00:00,Cercle Municipal,1937-02-27,False,1937.0
luxembourg1935-1938-03-09-a-i0096,BAL TZIGANE,Le Nouvel automobile - Club,1938-03-09-00:00:00,Cercle Municipal,1938-03-12,False,1938.0
tageblatt-1937-02-20-a-i0120,Carnival Music Performance,Le Wouvray Automobile-Club,1937-02-20-00:00:00,Cercle Gymnastical,1937-02-27,False,1937.0
luxembourg1935-1938-03-11-a-i0088,Grande Redoute BAL TZIGANE,Le Nouvel automobile-Club,1938-03-11-00:00:00,Cercle Municipal,1938-03-12,False,1938.0
tageblatt-1933-06-22-a-i0102,Concert,,1933-06-22-00:00:00,,,"Likely late June 1933, shortly after the publication date",
luxwort-1917-03-17-a-i0054,Grande Soirée artistique et carnavalesque,UNION DRAMATIQUE,1917-03-17-00:00:00,"HOTEL BROSIUS, LUXEMBOURG",1917-03-17,False,1917.0
tageblatt-1933-08-02-a-i0098,Concert du mercredi,,1933-08-02-00:00:00,,1933-08-02,True,1933.0
indeplux-1907-02-16-a-i0029,Anniversaire du Jeu de Quilles,Société des 13,1907-02-16,Café de Commerce,1907-02-17,False,1907.0
luxembourg1935-1936-02-24-a-i0104,De Mononk Phlepp,THEATRE POPULAIRE LUXEMBOURGEOIS,1936-02-24-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-01-15:30:00, 1936-03-01-20:30:00, 1936-03-03-20:30:00, 1936-03-04-20:30:00",False,
tageblatt-1950-02-04-a-i0213,Thé Dansant Carnavalesque / Soirée Carnavalesque,Hôtel de la Poste,1950-02-04-00:00:00,"Hôtel de la Poste, Esch-Alzette",1950-02-05-16:00:00,False,
luxwort-1883-01-22-a-i0010,CONCERT SYMPHONIQUE & VOCAL,SOCIÉTÉ PHILHARMONIQUE,1883-01-22,SALLE DU CERCLE,1883-01-25,False,1883.0
luxwort-1920-02-14-b-i0027,Grande Soirée carnavalesque,CERCLE AMICAL Limpertsberg,1920-02-14-00:00:00,Weber,1920-02-15,True,1920.0
luxwort-1913-01-24-a-i0058,,,1913-01-24-00:00:00,,,,
indeplux-1885-02-08-a-i0027,Football - Match,Cercle d'Escrime et de Gymnastique,1885-02-08,en face de la fondation Pescatore sur les Glacis,1885-02-08,True,1885.0
luxwort-1920-02-16-a-i0026,Soirée carnavalesque,Fanfare de Musique Luxembourg-Pfaffenthal,1920-02-16-00:00:00,Salle Weber et Kanr (arrangement P. Weitz),1920-02-16,True,1920.0
luxwort-1923-02-10-a-i0057,Soirée carnavalesque,Union Chorale Roulingergrund,1923-02-10-00:00:00,"Salle des Fêtes de l'Hôtel de la Poste, Luxembourg-Gare",1923-02-11-20:00:00,False,
indeplux-1885-02-10-a-i0021,Bal masqué,Société de Gymnastique,1885-02-10,,1885-02-17,False,1885.0
indeplux-1894-02-03-a-i0045,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-02-03-00:00:00,Villa Louvigny (Parc),1894-02-04,False,1894.0
indeplux-1921-02-05-a-i0068,Soirée carnavalesque et dansante,Cercle Grand-Ducal d'Escrime et de Sport Luxembourg,1921-02-05-00:00:00,hôtel Métropole,1921-02-06-20:30:00,True,
luxwort-1917-03-15-a-i0042,,,1917-03-15-00:00:00,,,,
luxembourg1935-1936-03-03-a-i0086,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-03-03-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-03 20:30, 1936-03-04 20:30",False,
luxwort-1913-01-23-a-i0048,Représentation extraordinaire Le mit du Tu,Théâtre de Luxembourg,1913-01-23-00:00:00,Théâtre de Luxembourg,1913-01-28,False,1913.0
tageblatt-1935-09-17-a-i0103,Selection of the Luxembourgish operetta 'D'Wonner vu Spe'ssbech',Radio-Luxembourg,1935-09-17-00:00:00,Radio-Luxembourg,1935-09-18-21:20:00,False,
tageblatt-1933-07-21-a-i0104,Konzerte in verschiedenen Städten,Verschiedene Musikvereine,1933-07-21-00:00:00,"Verschiedene Orte (Esch-Alz., Obercorn, Bettemburg, Petingen, Luxemburg, Bonneweg, Dommeldingen, Wiltz, Mondorf)",1933-07-22,True,1933.0
luxembourg1935-1936-02-28-a-i0099,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-28-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
luxembourg1935-1936-03-02-a-i0090,De Mononk Phlepp,THÉATRE POPULAIRE LUXEMBOURGEOIS,1936-03-02-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-03-20:30:00, 1936-03-04-20:30:00",False,
indeplux-1885-02-12-a-i0016,Soirée carnavalesque,"Société ""LA LYRE""",1885-02-12-00:00:00,Villa Louvigny,1885-02-12,True,1885.0
indeplux-1893-02-08-a-i0042,Soirée carnavalesque,Société Sang et Klang,1893-02-08,Villa Lonvigny (Parc),1893-02-12,False,1893.0
indeplux-1894-01-31-a-i0031,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-01-31,Villa Louvigny (Parc),1894-02-04,False,1894.0
indeplux-1898-02-10-a-i0024,Réouverture du Restaurant FABER,Tony MERSCH,1898-02-10-00:00:00,"Restaurant FABER, Luxembourg",1898-02-13,True,1898.0
luxembourg1935-1936-02-27-a-i0101,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-27-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
luxembourg1935-1936-03-04-a-i0105,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-03-04-00:00:00,Théâtre Municipal de Luxembourg,1936-03-04T20:30:00,False,
indeplux-1891-01-31-a-i0023,SOIRÉE CARNAVALESQUE,UNION DRAMATIQUE,1891-01-31-00:00:00,grande salle de l'ancien Cercle (Restaurant Lentz),1891-02-01-20:30:00,False,
luxembourg1935-1936-02-29-a-i0106,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-29,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
indeplux-1893-02-10-a-i0034,Soirée carnavalesque suivie de danse,Société du K-lang,1893-02-10,Villa Lonvigny (Parc),1893-02-12 20:00:00,False,
indeplux-1894-02-02-a-i0028,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-02-02,Villa Zaonvigfny (Parc),1894-02-04,False,1894.0
luxwort-1921-02-12-a-i0065,,,1921-02-12-00:00:00,,,,
indeplux-1884-03-15-a-i0035,GRAND CONCERT suivi du tirage de la LOTERIE CARNAVALESQUE,fanfare R G.-D. CONCORDIA,1884-03-15-00:00:00,VILU AMBERS,1884-03-16-16:00:00,False,
