uid,type,title,transcript,languageCode,publicationDate,mediaCode,publicationMonth
indeplux-1934-02-07-a-i0043,ad,Publicité 9 Page 4,,fr,1934-02-07,indeplux,02
luxembourg1935-1936-02-10-a-i0089,ad,Publicité 3 Page 6,,fr,1936-02-10,luxembourg1935,02
luxembourg1935-1938-02-24-a-i0103,ad,Publicité 10 Page 6,,fr,1938-02-24,luxembourg1935,02
luxwort-1937-02-05-a-i0133,ad,Pub. 41 Page 16,,fr,1937-02-05,luxwort,02
tageblatt-1933-07-17-a-i0069,ad,~)EBiH&lt;S RADIO LUXEMBOURG Longueur d'onde:,,fr,1933-07-17,tageblatt,07
tageblatt-1934-01-18-a-i0080,ad,RADIO-PROGRAMME RADIO LUXEMBOURG 230 kHz.,,fr,1934-01-18,tageblatt,01
indeplux-1920-02-14-a-i0050,ad,Publicité 3 Page 4,,fr,1920-02-14,indeplux,02
indeplux-1926-02-11-a-i0052,ad,Publicité 7 Page 4,,fr,1926-02-11,indeplux,02
indeplux-1913-02-21-a-i0065,ad,Publicité 4 Page 4,,fr,1913-02-21,indeplux,02
indeplux-1907-11-05-a-i0043,ad,Publicité 1 Page 3,,fr,1907-11-05,indeplux,11
indeplux-1921-02-12-a-i0076,ad,Publicité 7 Page 4,,fr,1921-02-12,indeplux,02
indeplux-1925-02-21-b-i0069,ad,Publicité 15 Page 4,,fr,1925-02-21,indeplux,02
indeplux-1926-02-10-b-i0056,ad,Publicité 6 Page 4,,fr,1926-02-10,indeplux,02
indeplux-1929-02-06-a-i0040,ad,Publicité 5 Page 4,,fr,1929-02-06,indeplux,02
indeplux-1931-02-13-a-i0039,ad,Publicité 10 Page 4,,fr,1931-02-13,indeplux,02
luxwort-1922-02-24-b-i0034,ad,Pub. 8 Page 4,,fr,1922-02-24,luxwort,02
tageblatt-1925-01-09-a-i0048,ad,Theätre du Pole-Nord Proprietaire ML,,fr,1925-01-09,tageblatt,01
indeplux-1904-12-31-a-i0027,ad,Publicité 4 Page 4,,fr,1904-12-31,indeplux,12
tageblatt-1928-02-16-a-i0080,ad,PARIS-PALACE Luxembourg CARNAVAL. Café Jean,,fr,1928-02-16,tageblatt,02
indeplux-1913-02-19-a-i0054,ad,Publicité 6 Page 4,,fr,1913-02-19,indeplux,02
indeplux-1923-02-09-a-i0064,ad,Publicité 5 Page 2,,fr,1923-02-09,indeplux,02
indeplux-1924-03-01-a-i0072,ad,Publicité 15 Page 3,,fr,1924-03-01,indeplux,03
indeplux-1932-05-10-a-i0047,ad,Publicité 5 Page 3,,fr,1932-05-10,indeplux,05
luxland-1986-01-03-a-i0086,ad,Publicité 2 Page 20,,fr,1986-01-03,luxland,01
luxland-1987-01-16-a-i0097,ad,Publicité 6 Page 20,,fr,1987-01-16,luxland,01
tageblatt-1922-02-24-a-i0055,ad,~a~ ~a~ ~MW&lt;MM)MWM)&lt;MMM)mMMt''MMt* S^~ T–,,fr,1922-02-24,tageblatt,02
obermosel-1937-02-04-a-i0070,ad,Publicité 12 Page 8,,de,1937-02-04,obermosel,02
obermosel-1938-02-23-a-i0079,ad,Publicité 6 Page 10,,de,1938-02-23,obermosel,02
tageblatt-1933-09-23-a-i0176,ad,® ea RADIO LUXEMBOURG 252,,de,1933-09-23,tageblatt,09
tageblatt-1933-12-16-a-i0117,ad,"t~SN~~ Dimanche 17 däoembre, RADIO",,de,1933-12-16,tageblatt,12
tageblatt-1935-10-05-a-i0147,ad,"1, .,J~ RADIO LUXEMBOURG 230",,de,1935-10-05,tageblatt,10
tageblatt-1936-07-31-a-i0088,ad,"KONZERTE. MUS1QUE MILITAIRE. Conce)'tduvendredi,3l juillet,",,de,1936-07-31,tageblatt,07
tageblatt-1948-02-03-a-i0089,ad,cmema moderne Ab heute Dienstag,,de,1948-02-03,tageblatt,02
indeplux-1913-02-01-a-i0072,ad,Publicité 8 Page 4,,fr,1913-02-01,indeplux,02
indeplux-1923-02-10-a-i0079,ad,Publicité 14 Page 4,,fr,1923-02-10,indeplux,02
tageblatt-1934-01-17-a-i0080,ad,RADIO LUXEMBOURG 230 kHz. (1304,,fr,1934-01-17,tageblatt,01
tageblatt-1947-02-14-a-i0090,ad,"MARIVAUX Du vendredi, 14 au",,fr,1947-02-14,tageblatt,02
dunioun-1947-01-22-a-i0100,ad,Publicité 8 Page 6,,fr,1947-01-22,dunioun,01
indeplux-1908-12-29-a-i0045,ad,Publicité 9 Page 4,,fr,1908-12-29,indeplux,12
indeplux-1921-02-04-a-i0039,ad,Publicité 1 Page 2,,fr,1921-02-04,indeplux,02
indeplux-1922-02-22-b-i0054,ad,Publicité 8 Page 4,,fr,1922-02-22,indeplux,02
luxembourg1935-1936-02-17-a-i0096,ad,Publicité 2 Page 3,,fr,1936-02-17,luxembourg1935,02
luxland-1986-11-07-a-i0097,ad,Publicité 5 Page 6,,fr,1986-11-07,luxland,11
luxland-1986-12-05-a-i0099,ad,Publicité 8 Page 12,,fr,1986-12-05,luxland,12
luxland-1987-01-09-a-i0096,ad,Publicité 4 Page 12,,fr,1987-01-09,luxland,01
luxland-1987-01-23-a-i0090,ad,Publicité 8 Page 10,,fr,1987-01-23,luxland,01
luxwort-1946-03-01-a-i0053,ad,Pub. 8 Page 4,,fr,1946-03-01,luxwort,03
luxwort-1948-01-27-a-i0052,ad,Pub. 7 Page 4,,fr,1948-01-27,luxwort,01
tageblatt-1925-02-21-a-i0078,ad,1825–1925 Es ist eine hundertjMhrige,,fr,1925-02-21,tageblatt,02
indeplux-1927-02-26-a-i0041,ad,Publicité 9 Page 4,,fr,1927-02-26,indeplux,02
indeplux-1929-02-08-a-i0032,ad,Publicité 7 Page 4,,fr,1929-02-08,indeplux,02
indeplux-1911-02-25-a-i0051,ad,Publicité 3 Page 4,,fr,1911-02-25,indeplux,02
luxwort-1946-03-02-a-i0117,ad,Pub. 36 Page 8,,de,1946-03-02,luxwort,03
tageblatt-1935-03-04-a-i0063,ad,Uhr: Aus Tonfilmen. 17.40: Klaviervorträge.,,de,1935-03-04,tageblatt,03
tageblatt-1935-07-25-a-i0090,ad,"1!Ji Vendredi, Ie 26 juillet",,de,1935-07-25,tageblatt,07
tageblatt-1935-11-27-a-i0096,ad,m r m w t»,,de,1935-11-27,tageblatt,11
indeplux-1907-12-23-a-i0036,ad,Publicité 8 Page 4,,fr,1907-12-23,indeplux,12
luxembourg1935-1936-02-18-a-i0105,ad,Publicité 5 Page 6,,fr,1936-02-18,luxembourg1935,02
luxland-1986-10-03-a-i0121,ad,Publicité 17 Page 18,,fr,1986-10-03,luxland,10
luxland-1986-10-17-a-i0083,ad,Publicité 3 Page 6,,fr,1986-10-17,luxland,10
luxland-1986-11-21-a-i0106,ad,Publicité 8 Page 10,,fr,1986-11-21,luxland,11
obermosel-1948-02-06-a-i0047,ad,Publicité 4 Page 3,,fr,1948-02-06,obermosel,02
indeplux-1912-03-15-a-i0044,ad,Publicité 1 Page 4,,fr,1912-03-15,indeplux,03
indeplux-1913-02-22-a-i0078,ad,Publicité 6 Page 4,,fr,1913-02-22,indeplux,02
luxwort-1921-02-12-a-i0065,ad,Pub. 12 Page 4,,de,1921-02-12,luxwort,02
dunioun-1945-10-26-a-i0019,ad,Publicité 5 Page 2,,fr,1945-10-26,dunioun,10
luxwort-1947-02-15-a-i0086,ad,Pub. 14 Page 4,,de,1947-02-15,luxwort,02
armeteufel-1909-02-21-a-i0018,ad,Publicité 1 Page 3,,de,1909-02-21,armeteufel,02
indeplux-1907-02-16-a-i0029,ad,Publicité 2 Page 3,,fr,1907-02-16,indeplux,02
tageblatt-1924-03-04-a-i0051,ad,Brasserie Restaurant fflPPET GRANDTIUE LUXEMBOURG.,,de,1924-03-04,tageblatt,03
indeplux-1924-02-28-a-i0055,ad,Publicité 3 Page 3,,fr,1924-02-28,indeplux,02
indeplux-1924-02-29-b-i0030,ad,Publicité 3 Page 2,,fr,1924-02-29,indeplux,02
indeplux-1924-02-28-b-i0056,ad,Publicité 6 Page 3,,fr,1924-02-28,indeplux,02
indeplux-1923-02-09-a-i0062,ad,Publicité 3 Page 1,,fr,1923-02-09,indeplux,02
indeplux-1923-02-08-a-i0071,ad,Publicité 1 Page 1,,fr,1923-02-08,indeplux,02
tageblatt-1938-02-26-a-i0112,ad,II fl N Samedi et,,fr,1938-02-26,tageblatt,02
luxembourg1935-1938-02-26-a-i0101,ad,Publicité 3 Page 3,,fr,1938-02-26,luxembourg1935,02
indeplux-1923-02-10-a-i0069,ad,Publicité 4 Page 1,,fr,1923-02-10,indeplux,02
tageblatt-1926-02-13-a-i0112,ad,"CE SOIR ä 8,30 heures",,fr,1926-02-13,tageblatt,02
luxland-1976-02-20-a-i0104,ad,Publicité 6 Page 10,,fr,1976-02-20,luxland,02
luxwort-1930-03-01-a-i0044,ad,Pub. 19 Page 5,,fr,1930-03-01,luxwort,03
indeplux-1924-03-01-a-i0074,ad,Publicité 17 Page 4,,fr,1924-03-01,indeplux,03
indeplux-1924-03-01-b-i0061,ad,Publicité 18 Page 4,,fr,1924-03-01,indeplux,03
indeplux-1932-02-06-a-i0051,ad,Publicité 10 Page 4,,fr,1932-02-06,indeplux,02
indeplux-1926-02-13-a-i0061,ad,Publicité 12 Page 4,,fr,1926-02-13,indeplux,02
indeplux-1926-02-13-b-i0065,ad,Publicité 14 Page 4,,fr,1926-02-13,indeplux,02
indeplux-1932-02-05-a-i0042,ad,Publicité 7 Page 4,,fr,1932-02-05,indeplux,02
indeplux-1903-02-18-a-i0031,ad,Publicité 9 Page 4,,fr,1903-02-18,indeplux,02
indeplux-1903-02-19-a-i0033,ad,Publicité 8 Page 4,,fr,1903-02-19,indeplux,02
luxwort-1949-02-25-a-i0068,ad,Pub. 22 Page 8,,de,1949-02-25,luxwort,02
luxwort-1949-01-28-a-i0068,ad,Pub. 12 Page 8,,de,1949-01-28,luxwort,01
indeplux-1909-12-24-a-i0043,ad,Publicité 6 Page 4,,fr,1909-12-24,indeplux,12
indeplux-1924-03-02-a-i0058,ad,Publicité 9 Page 4,,fr,1924-03-02,indeplux,03
indeplux-1924-03-02-b-i0058,ad,Publicité 9 Page 4,,fr,1924-03-02,indeplux,03
luxembourg1935-1938-02-26-a-i0116,ad,Publicité 18 Page 6,,fr,1938-02-26,luxembourg1935,02
luxland-1986-10-24-a-i0101,ad,Publicité 12 Page 10,,fr,1986-10-24,luxland,10
tageblatt-1950-02-17-a-i0090,ad,"Carnaval zu, tccUtu^o-acU Rendez-vous voan",,fr,1950-02-17,tageblatt,02
luxwort-1922-05-17-a-i0037,ad,Pub. 16 Page 4,,de,1922-05-17,luxwort,05
luxwort-1935-02-27-a-i0077,ad,Pub. 15 Page 8,,de,1935-02-27,luxwort,02
tageblatt-1934-02-08-a-i0105,ad,ThSiirs municipal de Luxembourg. ABONNEMENTS,,de,1934-02-08,tageblatt,02
tageblatt-1934-05-23-a-i0093,ad,imme RADIO LUXEMBOURG 430 kHz.,,de,1934-05-23,tageblatt,05
tageblatt-1934-11-06-a-i0088,ad,RADIO-PROGRAMME. RADIO LUXEMBOURG 230 kHz.,,de,1934-11-06,tageblatt,11
indeplux-1909-12-21-a-i0036,ad,Publicité 4 Page 4,,fr,1909-12-21,indeplux,12
luxembourg1935-1936-02-21-a-i0097,ad,Publicité 5 Page 6,,fr,1936-02-21,luxembourg1935,02
indeplux-1913-02-20-a-i0071,ad,Publicité 5 Page 4,,fr,1913-02-20,indeplux,02
luxwort-1926-02-13-a-i0066,ad,Pub. 21 Page 4,,de,1926-02-13,luxwort,02
tageblatt-1933-10-10-a-i0100,ad,"RADIO-PROGRAMME Mercredi, 11 octobre 1933.",,de,1933-10-10,tageblatt,10
tageblatt-1934-04-10-a-i0110,ad,RADIO-PROGRAMME RADIO LUXEMBOURG 230 kHz.,,de,1934-04-10,tageblatt,04
tageblatt-1934-05-05-a-i0172,ad,RADIO-PROGRAMME. RADIO LUXEMBOURG 230 kHz.,,de,1934-05-05,tageblatt,05
tageblatt-1934-07-18-a-i0077,ad,R A P I «,,de,1934-07-18,tageblatt,07
tageblatt-1934-09-10-a-i0066,ad,v RADIO LUXEMBOURG 230 kHz.,,de,1934-09-10,tageblatt,09
tageblatt-1934-09-28-a-i0103,ad,1 ~t~a~~ RADIO LUXEMBOURG 230,,de,1934-09-28,tageblatt,09
tageblatt-1935-03-12-a-i0098,ad,R A D 1 0,,de,1935-03-12,tageblatt,03
tageblatt-1935-07-02-a-i0078,ad,® B a t ex,,de,1935-07-02,tageblatt,07
tageblatt-1939-08-04-a-i0094,ad,"Concert, Théâtre et Cinéma. r",,de,1939-08-04,tageblatt,08
dunioun-1948-02-06-a-i0059,ad,Publicité 10 Page 4,,fr,1948-02-06,dunioun,02
indeplux-1908-12-17-a-i0034,ad,Publicité 4 Page 4,,fr,1908-12-17,indeplux,12
indeplux-1908-12-24-a-i0056,ad,Publicité 13 Page 4,,fr,1908-12-24,indeplux,12
luxembourg1935-1936-02-26-a-i0094,ad,Publicité 4 Page 6,,fr,1936-02-26,luxembourg1935,02
indeplux-1922-02-25-a-i0089,ad,Publicité 7 Page 4,,fr,1922-02-25,indeplux,02
indeplux-1926-02-11-b-i0056,ad,Publicité 7 Page 4,,fr,1926-02-11,indeplux,02
indeplux-1914-02-23-a-i0076,ad,Publicité 7 Page 4,,fr,1914-02-23,indeplux,02
indeplux-1922-02-25-a-i0091,ad,Publicité 9 Page 4,,fr,1922-02-25,indeplux,02
indeplux-1934-02-08-a-i0047,ad,Publicité 8 Page 4,,fr,1934-02-08,indeplux,02
luxembourg1935-1938-02-23-a-i0070,ad,Publicité 5 Page 6,,fr,1938-02-23,luxembourg1935,02
luxwort-1945-02-07-a-i0043,ad,Pub. 2 Page 2,,fr,1945-02-07,luxwort,02
tageblatt-1924-02-27-a-i0050,ad,&lt;M&lt;tata)&lt;htt&lt;t)t!6ttt&lt;t!&lt;t«ettitttB!)ti&lt;B!i!t~W'&lt;tM)tttBm&lt;Bta&SB'&ip a & ̃ ES,,fr,1924-02-27,tageblatt,02
tageblatt-1928-02-16-a-i0090,ad,UN BOTANISTE DI3TINGUB. Un boianist»,,fr,1928-02-16,tageblatt,02
tageblatt-1948-02-04-a-i0057,ad,Radio- Luxembourg Mercredi: 4 fivrier.,,fr,1948-02-04,tageblatt,02
indeplux-1911-02-27-a-i0060,ad,Publicité 4 Page 4,,fr,1911-02-27,indeplux,02
indeplux-1922-02-22-b-i0050,ad,Publicité 4 Page 4,,fr,1922-02-22,indeplux,02
indeplux-1924-02-27-a-i0049,ad,Publicité 5 Page 2,,fr,1924-02-27,indeplux,02
indeplux-1924-02-27-b-i0045,ad,Publicité 5 Page 2,,fr,1924-02-27,indeplux,02
luxwort-1950-02-04-a-i0155,ad,Pub. 44 Page 10,,fr,1950-02-04,luxwort,02
tageblatt-1935-02-15-a-i0128,ad,Naney. Concert symphonique avec le,,fr,1935-02-15,tageblatt,02
luxwort-1930-11-17-a-i0042,ad,Pub. 6 Page 4,,de,1930-11-17,luxwort,11
luxwort-1933-02-25-a-i0103,ad,Pub. 45 Page 9,,de,1933-02-25,luxwort,02
luxwort-1945-10-26-a-i0087,ad,Pub. 8 Page 4,,de,1945-10-26,luxwort,10
tageblatt-1933-03-18-a-i0124,ad,"~tgBE~ Samedi, 18 mars Programme",,de,1933-03-18,tageblatt,03
tageblatt-1934-02-12-a-i0077,ad,~r~H~TH~~ RADIO LUXEMBOURG 230 kHz.,,de,1934-02-12,tageblatt,02
tageblatt-1934-04-28-a-i0114,ad,~~t~ RADIO LUXEIWBOURG 230 kHz.,,de,1934-04-28,tageblatt,04
tageblatt-1934-08-21-a-i0092,ad,"ac"" mou ~~B~ &rt;7 hrlffl^W^iCT",,de,1934-08-21,tageblatt,08
tageblatt-1934-09-15-a-i0118,ad,RADIO-PROGRAMME. RADIO LUXEMBOURG 230 kHz.,,de,1934-09-15,tageblatt,09
tageblatt-1934-09-25-a-i0076,ad,RADIO- PROGRAMME. RADIO LUXEMBOURG 230,,de,1934-09-25,tageblatt,09
luxembourg1935-1939-01-28-a-i0110,ad,Publicité 16 Page 6,,fr,1939-01-28,luxembourg1935,01
luxwort-1923-02-07-a-i0029,ad,Pub. 5 Page 3,,fr,1923-02-07,luxwort,02
tageblatt-1924-02-29-a-i0065,ad,"x-– ̃̃.̃W,WMWWMM a g Les",,fr,1924-02-29,tageblatt,02
tageblatt-1938-02-23-a-i0117,ad,"=T:l~ p ~7~'Sâ1C3Z7E~~ûâ~ 3,Q52TLâ7Q V",,fr,1938-02-23,tageblatt,02
luxwort-1923-02-05-a-i0031,ad,Pub. 13 Page 4,,de,1923-02-05,luxwort,02
tageblatt-1934-12-20-a-i0151,ad,"® ® ,6L1Unm~ .r:r 51"".",,de,1934-12-20,tageblatt,12
tageblatt-1938-02-26-a-i0138,ad,Wie ist es doch praktisch,,de,1938-02-26,tageblatt,02
tageblatt-1938-08-10-a-i0095,ad,selnd mit Sehallplatten. 19.00: Wetterbericht.,,de,1938-08-10,tageblatt,08
tageblatt-1945-04-21-a-i0039,ad,Spital DER STADT ESCH-ALZETTE. BADER,,de,1945-04-21,tageblatt,04
indeplux-1926-02-12-b-i0058,ad,Publicité 7 Page 4,,fr,1926-02-12,indeplux,02
indeplux-1922-02-24-a-i0053,ad,Publicité 2 Page 2,,fr,1922-02-24,indeplux,02
indeplux-1928-02-10-a-i0024,ad,Publicité 4 Page 3,,fr,1928-02-10,indeplux,02
luxembourg1935-1938-02-26-a-i0115,ad,Publicité 17 Page 6,,fr,1938-02-26,luxembourg1935,02
luxland-1985-12-20-a-i0112,ad,Publicité 7 Page 22,,fr,1985-12-20,luxland,12
luxland-1986-01-17-a-i0100,ad,Publicité 5 Page 12,,fr,1986-01-17,luxland,01
luxland-1986-01-24-a-i0121,ad,Publicité 9 Page 26,,fr,1986-01-24,luxland,01
tageblatt-1925-02-19-a-i0079,ad,"s~ä~9~d~e~GyC~LiC~R~~·~i9l~i~d· I SMaison Sromes, £",,fr,1925-02-19,tageblatt,02
dunioun-1947-02-13-a-i0055,ad,Publicité 6 Page 4,,fr,1947-02-13,dunioun,02
indeplux-1904-12-24-a-i0028,ad,Publicité 3 Page 4,,fr,1904-12-24,indeplux,12
indeplux-1924-03-01-b-i0064,ad,Publicité 21 Page 4,,fr,1924-03-01,indeplux,03
indeplux-1929-03-07-a-i0031,ad,Publicité 6 Page 3,,fr,1929-03-07,indeplux,03
luxembourg1935-1938-02-15-a-i0121,ad,Publicité 11 Page 6,,fr,1938-02-15,luxembourg1935,02
luxland-1985-12-28-a-i0082,ad,Publicité 10 Page 10,,fr,1985-12-28,luxland,12
luxland-1986-01-10-a-i0091,ad,Publicité 5 Page 8,,fr,1986-01-10,luxland,01
tageblatt-1924-03-01-a-i0089,ad,Restaurant-Fritures C OM E S,,fr,1924-03-01,tageblatt,03
tageblatt-1950-01-21-a-i0221,ad,"Voyages classiques, en ffroupes et",,fr,1950-01-21,tageblatt,01
luxembourg1935-1936-02-29-a-i0106,ad,Publicité 16 Page 6,,fr,1936-02-29,luxembourg1935,02
indeplux-1928-02-18-a-i0037,ad,Publicité 11 Page 3,,fr,1928-02-18,indeplux,02
tageblatt-1925-02-21-a-i0092,ad,L'ASSOCIATION SPORTIVE «LA JEUNESSE D'ESCH.,,fr,1925-02-21,tageblatt,02
dunioun-1947-01-14-a-i0058,ad,Publicité 8 Page 4,,fr,1947-01-14,dunioun,01
indeplux-1908-12-19-a-i0045,ad,Publicité 5 Page 4,,fr,1908-12-19,indeplux,12
indeplux-1923-02-07-a-i0057,ad,Publicité 1 Page 2,,fr,1923-02-07,indeplux,02
indeplux-1924-03-01-a-i0077,ad,Publicité 20 Page 4,,fr,1924-03-01,indeplux,03
indeplux-1932-02-04-a-i0046,ad,Publicité 8 Page 4,,fr,1932-02-04,indeplux,02
luxland-1985-12-13-a-i0098,ad,Publicité 12 Page 14,,fr,1985-12-13,luxland,12
luxland-1986-01-24-a-i0126,ad,Publicité 14 Page 28,,fr,1986-01-24,luxland,01
luxwort-1921-02-03-a-i0037,ad,Pub. 1 Page 6,,fr,1921-02-03,luxwort,02
luxwort-1947-03-10-a-i0063,ad,Pub. 5 Page 5,,fr,1947-03-10,luxwort,03
tageblatt-1926-02-13-a-i0115,ad,Grand Bazar de Charite organisö,,fr,1926-02-13,tageblatt,02
tageblatt-1929-02-08-a-i0157,ad,` °'~ gann ( 81,,fr,1929-02-08,tageblatt,02
luxwort-1921-02-04-a-i0049,ad,Pub. 19 Page 4,,de,1921-02-04,luxwort,02
luxwort-1923-02-10-a-i0054,ad,Pub. 18 Page 4,,de,1923-02-10,luxwort,02
luxwort-1930-02-27-a-i0058,ad,Pub. 25 Page 7,,de,1930-02-27,luxwort,02
obermosel-1935-02-27-a-i0038,ad,Publicité 4 Page 4,,de,1935-02-27,obermosel,02
tageblatt-1927-01-11-a-i0090,ad,"P,. NOUVEAUMS~ALACE ESCH.ALZETTE. Fox ~spef",,de,1927-01-11,tageblatt,01
tageblatt-1934-02-23-a-i0089,ad,RADtO.PROER&~ME RADIO LUXEMBOURG 230 kHz.,,de,1934-02-23,tageblatt,02
tageblatt-1934-10-19-a-i0100,ad,&lt;E&W N hN~E~~T~SB E) ~Mr,,de,1934-10-19,tageblatt,10
tageblatt-1934-12-17-a-i0077,ad,RADIO-PROGRAMME. RADIO LUXEMBOURG 230 kHz.,,de,1934-12-17,tageblatt,12
tageblatt-1937-02-04-a-i0114,ad,Tliéâtre Municipal de Luxembo^ ABONNEMENTS,,de,1937-02-04,tageblatt,02
indeplux-1924-02-29-a-i0046,ad,Publicité 11 Page 2,,fr,1924-02-29,indeplux,02
indeplux-1924-02-29-b-i0037,ad,Publicité 10 Page 2,,fr,1924-02-29,indeplux,02
indeplux-1924-03-01-b-i0059,ad,Publicité 16 Page 3,,fr,1924-03-01,indeplux,03
luxembourg1935-1938-02-25-a-i0084,ad,Publicité 4 Page 6,,fr,1938-02-25,luxembourg1935,02
luxwort-1930-02-28-a-i0079,ad,Pub. 28 Page 14,,fr,1930-02-28,luxwort,02
tageblatt-1926-08-06-a-i0046,ad,| Masique militaire. » CONCERT,,fr,1926-08-06,tageblatt,08
tageblatt-1938-07-30-a-i0126,ad,5) Ballet italien _T Bozi,,fr,1938-07-30,tageblatt,07
luxwort-1948-01-02-a-i0050,ad,Pub. 10 Page 6,,de,1948-01-02,luxwort,01
luxembourg1935-1940-02-03-a-i0067,ad,Publicité 9 Page 4,,fr,1940-02-03,luxembourg1935,02
luxwort-1926-02-11-a-i0034,ad,Pub. 7 Page 4,,de,1926-02-11,luxwort,02
luxwort-1948-01-14-a-i0068,ad,Pub. 10 Page 7,,de,1948-01-14,luxwort,01
luxwort-1948-02-03-a-i0057,ad,Pub. 18 Page 6,,de,1948-02-03,luxwort,02
luxwort-1948-02-07-a-i0137,ad,Pub. 14 Page 5,,fr,1948-02-07,luxwort,02
luxwort-1947-02-15-a-i0092,ad,Pub. 20 Page 8,,fr,1947-02-15,luxwort,02
tageblatt-1933-08-02-a-i0098,ad,"KONZERTE. Concert du mercredi, 2",,fr,1933-08-02,tageblatt,08
tageblatt-1924-04-29-a-i0062,ad,~.·~r~ CARNÄVAL-ZACHARIAS Luxemburg-Bahnhof Bonnewegerstaasse 7.,,de,1924-04-29,tageblatt,04
tageblatt-1932-02-05-a-i0119,ad,I T^Vis. 1- 1 Los,,de,1932-02-05,tageblatt,02
obermosel-1922-08-19-a-i0041,ad,Publicité 7 Page 3,,de,1922-08-19,obermosel,08
tageblatt-1924-02-29-a-i0052,ad,"Demoiselle scrieuse, tres au cour.",,de,1924-02-29,tageblatt,02
tageblatt-1950-02-17-a-i0087,ad,• M Kredit feinste t,,de,1950-02-17,tageblatt,02
luxembourg1935-1936-02-24-a-i0104,ad,Publicité 5 Page 3,,fr,1936-02-24,luxembourg1935,02
obermosel-1922-03-11-a-i0062,ad,Publicité 2 Page 3,,de,1922-03-11,obermosel,03
tageblatt-1950-02-17-a-i0094,ad,| VËRE11V 1 | D'Segelflieger,,de,1950-02-17,tageblatt,02
luxwort-1917-03-17-a-i0054,ad,Pub. 9 Page 6,,de,1917-03-17,luxwort,03
armeteufel-1909-02-21-a-i0019,ad,Publicité 2 Page 3,,de,1909-02-21,armeteufel,02
tageblatt-1924-06-27-a-i0048,ad,i Musique militaire. Concert du,,de,1924-06-27,tageblatt,06
tageblatt-1926-02-12-a-i0094,ad,~sr~ :='tD~ ~Ei | CARNAVAL,,de,1926-02-12,tageblatt,02
tageblatt-1949-02-25-a-i0116,ad,"v AB HEUTE FREITAG, 25.",,de,1949-02-25,tageblatt,02
luxland-1956-02-24-a-i0121,ad,Publicité 22 Page 9,,de,1956-02-24,luxland,02
tageblatt-1932-01-30-a-i0176,ad,SALLE DES VENTCS PUBLIQUES N.,,de,1932-01-30,tageblatt,01
tageblatt-1938-06-10-a-i0095,ad,Derii.TGii der oiymp. spteie Berlin,,de,1938-06-10,tageblatt,06
